Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
Surgical-Steeds,Appoloosa,Appoloosa Musclebike,Musclebike,2003,Motorcycle
Road Hog,Hog Breath,Hog Breath Express,Express,2008,Motorcycle
Suzuki,GS1150ESG,GS1150ESG,--,1985,Motorcycle
BMW,F800GS,F800GS,--,2017,Motorcycle
Demon Choppers,Evil Twin,Evil Twin,--,2009,Motorcycle
BMW,R100RS,R100RS,--,1990,Motorcycle
AJS,Model 16,Model 16 C,C,1959,Motorcycle
Wild West,Peacemaker,Peacemaker,--,2002,Motorcycle
Yamaha,Royal Star,Royal Star XVZ1300TF Venture,XVZ1300TF Venture,2007,Motorcycle
Coonyz Customz,Ball Breaker,Ball Breaker Softail,Softail,2010,Motorcycle
Can-Am,Spyder F3,Spyder F3 SE6,SE6,2015,Motorcycle
Boss Hoss,BHC-9B,BHC-9B 502 Trike,502 Trike,2002,Motorcycle
Harley-Davidson,XR750,XR750,--,1969,Motorcycle
Kawasaki,305 LTD,305 LTD KZ305B,KZ305B,1987,Motorcycle
Bimota,KB3,KB3 Kawasaki,Kawasaki,1985,Motorcycle
KTM,620,620 Duke,Duke,1995,Motorcycle
Suzuki,DR350SE,DR350SE,--,1993,Motorcycle
Desperado,Pale Rider,Pale Rider Softail,Softail,2007,Motorcycle
GAS GAS,TXT Racing,TXT Racing 300,300,2012,Motorcycle
Kawasaki,SG250,SG250,--,1967,Motorcycle
Ducati,Scrambler,Scrambler Icon,Icon,2019,Motorcycle
Triumph,Rocket III,Rocket III Classic,Classic,2007,Motorcycle
Bimota,Mantra,Mantra,--,1995,Motorcycle
KTM,250,250 XCW,XCW,2015,Motorcycle
Triumph,TRW Twin 500,TRW Twin 500,--,1951,Motorcycle
Wild West,Dragoon,Dragoon,--,2013,Motorcycle
Benelli,Tre-K,Tre-K Amazonas,Amazonas,2008,Motorcycle
California Sidecar-Trike,Tour,Tour,--,2003,Motorcycle
Harley-Davidson,J,J V Twin 61,V Twin 61,1921,Motorcycle
Cagiva,V Raptor,V Raptor 650,650,2009,Motorcycle
Montesa,Cota,Cota 123,123,1978,Motorcycle
Suzuki,GP125,GP125,--,1980,Motorcycle
KTM,450,450 XC-W Champions Edition,XC-W Champions Edition,2010,Motorcycle
Yamaha,WR400F,WR400F,--,1999,Motorcycle
KTM,250,250 SX,SX,2013,Motorcycle
Suzuki,GSXR1000,GSXR1000,--,2003,Motorcycle
Kawasaki,Vulcan 800,Vulcan 800 VN800B Classic,VN800B Classic,2003,Motorcycle
Kawasaki,KLR250,KLR250,--,1984,Motorcycle
Lehman Trikes,Raider 5,Raider 5,--,2005,Motorcycle
Zero,DS,DS ZF14.4,ZF14.4,2019,Motorcycle
Ural,Retro,Retro With Sidecar,With Sidecar,2011,Motorcycle
Can-Am,Spyder RS-S,Spyder RS-S SM5,SM5,2014,Motorcycle
Triumph,Thruxton 1200,Thruxton 1200,--,2016,Motorcycle
Moto Guzzi,850 T3,850 T3 Twin 844,Twin 844,1980,Motorcycle
Big Dog,Vintage,Vintage Classic,Classic,1999,Motorcycle
Harley-Davidson,Sportster 1000,Sportster 1000 XLH,XLH,1975,Motorcycle
Indian,Chieftain,Chieftain Elite,Elite,2018,Motorcycle
Moto Guzzi,Cardellino 75,Cardellino 75 Single 73,Single 73,1962,Motorcycle
Suzuki,Boulevard,Boulevard C50 Black,C50 Black,2008,Motorcycle
